title,author,genre,rating,status,origin_country,year
The Gift of Friends,Emma Hannigan,Fiction,,,Ireland,2012
This Boy,Alan Johnson,Biography,,,United Kingdom,2013
Lucy by the Sea,Elizabeth Strout,Fiction,,,United States,2022
Constellations,Sinéad Gleeson,Essays,,,Ireland,2019
Utterly Lovable Dogs,N/A,Reference,,,N/A,N/A
The Food of Love,Anthony Capella,Fiction,,,United Kingdom,2004
Double Cross,Ben Macintyre,History,,,United Kingdom,2007
We Don't Know Ourselves,Fintan O'Toole,History,,,Ireland,2021
The Three Billy Goats Gruff,Norwegian folktale,Children,,,Norway,1841
The Rodfather,N/A,Humor,,,Ireland,2014
We Stand with Ukraine,N/A,History,,,N/A,2022
His Finest Hour,Winston Churchill,History,,,United Kingdom,1949
Half of What You Hear,Kristyn Kusek Lewis,Fiction,,,United States,2020
Mistletoe and Murder,Robin Stevens,Children,,,United Kingdom,2016
Tilly and the Bookwanderers,Anna James,Children,,,United Kingdom,2018
Believe the Cats,N/A,Fiction,,,N/A,N/A
Table for Two,Amor Towles,Fiction,,,United States,2024
Heart of Darkness,Joseph Conrad,Fiction,,,United Kingdom,1899
The Year That Changed Everything,Cathy Kelly,Fiction,,,Ireland,2018
Clock Dance,Anne Tyler,Fiction,,,United States,2018
Walk the Blue Fields,Claire Keegan,Fiction,,,Ireland,2007
Stop Feeding Your Cancer,Dr. John Kelly,Science,,,Ireland,2021
Mindfulness for Life,Stephen McKenzie & Craig Hassed,Psychology,,,Australia,2020
Seamus Heaney: 100 Poems,Seamus Heaney,Poetry,,,Ireland,2013
Autumn,Ali Smith,Fiction,,,United Kingdom,2016
Playground,Richard Powers,Fiction,,,United States,2024
The Penguin Lessons,Tom Michell,Biography,,,United Kingdom,2015
Your One Wild and Precious Life,Maureen Gaffney,Psychology,,,Ireland,2016
Snowflake,Louise Nealon,Fiction,,,Ireland,2021
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Fiction,,,United States,2022
Lunch in Paris,Elizabeth Bard,Biography,,,United States,2010
Plainsong,Kent Haruf,Fiction,,,United States,1999
Simply Yoga,N/A,Psychology,,,N/A,N/A
"When in Venice, Walk in Single File",N/A,Travel,,,N/A,N/A
The Naughtiest Girl Marches On,Enid Blyton,Children,,,United Kingdom,1953
The Only Dog Training Book You'll Ever Need,Gerilyn J. Bielakiewicz,Reference,,,United States,1991
Firmin,Sam Savage,Fiction,,,United States,2006
The Vanishing Act of Esme Lennox,Maggie O'Farrell,Fiction,,,United Kingdom,2006
These Days,Lucy Caldwell,Fiction,,,Northern Ireland,2022
Us Three,Ruth Jones,Fiction,,,United Kingdom,2020
The House of Fortune,Jessie Burton,Fiction,,,United Kingdom,2022
The Book of Two Ways,Jodi Picoult,Fiction,,,United States,2020
April in Spain,John Banville,Mystery,,,Ireland,2021
Sea of Tranquility,Emily St. John Mandel,Fiction,,,Canada,2022
The Castle of Otranto,Horace Walpole,Fiction,,,United Kingdom,1764
Saving Missy,Beth Morrey,Fiction,,,United Kingdom,2019
George's Marvellous Medicine,Roald Dahl,Children,,,United Kingdom,1981
The Boy in the Striped Pyjamas,John Boyne,Fiction,,,Ireland,2006
Strange Flowers,Donal Ryan,Fiction,,,Ireland,2020
May All Your Skies Be Blue,N/A,Poetry,,,N/A,N/A
The Body Book,Cameron Diaz,Science,,,United States,2013
Ischia: An Essential Guide,N/A,Travel,,,N/A,N/A
Elizabeth Finch,Julian Barnes,Fiction,,,United Kingdom,2022
Stop Physician Burnout,Dr. Dike Drummond,Psychology,,,United States,2012
Cacophony of Bone,Kerri ní Dochartaigh,Biography,,,Ireland,2023
Spies of the Balkans,Alan Furst,Mystery,,,United States,2010
Acoustic Classics,Richard Thompson,Reference,,,United Kingdom,2014
Fantastic Beasts and Where to Find Them,J.K. Rowling (as Newt Scamander),Fantasy,,,United Kingdom,2001
Educated,Tara Westover,Biography,,,United States,2018
Every Day Is a Fresh Beginning,Karen Casey,Poetry,,,United States,1989
Why Does E=mc²?,Brian Cox & Jeff Forshaw,Science,,,United Kingdom,2009
An Unsung Hero,Michael Smith,Biography,,,N/A,N/A
Ireland: The Best 100 Places,John & Sally McKenna,Travel,,,Ireland,2011
Only Dull People Are Brilliant at Breakfast,Oscar Wilde,Essays,,,Ireland,2016
Small Things Like These,Claire Keegan,Fiction,,,Ireland,2021
The Penguin Book of Italian Short Stories,Jhumpa Lahiri (ed.),Essays,,,India,2019
The Enchanted April,Elizabeth von Arnim,Fiction,,,Australia,1922
